No.,Time,Source,Destination,Protocol,Length,Info,,
7,2.5362153,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=347/23297, ttl=128 (reply in 8)",,COUN
8,2.5720178,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=347/23297, ttl=113 (request in 7)",,
9,3.5460335,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=348/23553, ttl=128 (reply in 10)",,
10,3.5904939,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=348/23553, ttl=113 (request in 9)",,
11,4.5594633,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=349/23809, ttl=128 (reply in 12)",,
12,4.5929503,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=349/23809, ttl=113 (request in 11)",,601
15,5.574256,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=350/24065, ttl=128 (reply in 16)",,2.5362153
16,5.6147587,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=350/24065, ttl=113 (request in 15)",,
19,6.5844744,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=351/24321, ttl=128 (reply in 21)",,
21,6.6226087,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=351/24321, ttl=113 (request in 19)",,
55,7.5958882,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=352/24577, ttl=128 (reply in 56)",,
56,7.6291805,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=352/24577, ttl=113 (request in 55)",,
58,8.6058345,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=353/24833, ttl=128 (reply in 59)",,
59,8.6389826,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=353/24833, ttl=113 (request in 58)",,
62,9.6182738,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=354/25089, ttl=128 (reply in 63)",,
63,9.6544072,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=354/25089, ttl=113 (request in 62)",,
67,10.6300436,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=355/25345, ttl=128 (reply in 68)",,
68,10.6621387,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=355/25345, ttl=113 (request in 67)",,
71,11.6376714,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=356/25601, ttl=128 (reply in 72)",,
72,11.6715779,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=356/25601, ttl=113 (request in 71)",,
73,12.6459189,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=357/25857, ttl=128 (reply in 74)",,
74,12.6786345,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=357/25857, ttl=113 (request in 73)",,
75,13.6611946,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=358/26113, ttl=128 (reply in 76)",,
76,13.6942087,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=358/26113, ttl=113 (request in 75)",,
77,14.6725917,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=359/26369, ttl=128 (reply in 78)",,
78,14.7078808,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=359/26369, ttl=113 (request in 77)",,
81,15.6790664,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=360/26625, ttl=128 (reply in 82)",,
82,15.7134263,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=360/26625, ttl=113 (request in 81)",,
83,16.6944522,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=361/26881, ttl=128 (reply in 84)",,
84,16.7278754,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=361/26881, ttl=113 (request in 83)",,
85,17.7117695,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=362/27137, ttl=128 (reply in 86)",,
86,17.7452238,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=362/27137, ttl=113 (request in 85)",,
91,18.717718,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=363/27393, ttl=128 (reply in 92)",,
